Unnamed: 0,ENTIDAD,Unnamed: 2,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
,AGUASCALIENTES,,22.1,22.9,23.1,28.3,29.0,27.2,26.0,26.9,26.5,25.6,25.3,22.2,25.4
,BAJA CALIFORNIA,,22.3,24.9,26.9,26.9,25.7,32.1,32.0,34.2,33.2,30.1,23.0,18.8,27.5
,BAJA CALIFORNIA SUR,,25.3,27.8,29.2,30.1,30.2,34.2,34.8,36.4,34.7,32.3,29.1,24.8,30.7
,CAMPECHE,,29.5,30.5,33.6,37.6,37.2,34.6,36.3,35.8,34.5,33.2,32.2,31.8,33.9
,COAHUILA,,17.9,22.2,22.7,29.1,30.7,31.6,34.2,35.4,32.9,29.6,24.6,22.6,27.8
,COLIMA,,31.7,29.9,31.1,33.0,33.8,33.2,33.3,33.8,33.3,33.2,32.9,31.9,32.6
,CHIAPAS,,27.7,29.0,30.8,33.6,32.5,31.1,31.3,31.8,30.5,30.3,30.3,29.5,30.7
,CHIHUAHUA,,17.3,22.1,22.0,27.9,29.8,32.9,31.8,32.9,31.2,27.4,23.8,20.1,26.6
,DISTRITO FEDERAL,,21.1,22.8,23.1,26.2,25.3,24.5,24.7,25.0,23.9,23.8,23.5,22.8,23.9
,DURANGO,,19.5,22.2,22.2,27.3,29.9,29.3,29.0,30.1,29.3,27.2,26.4,22.1,26.2
,GUANAJUATO,,24.0,25.0,25.9,30.3,29.7,28.1,27.0,28.2,27.5,27.0,26.9,24.4,27.0
,GUERRERO,,30.8,31.0,32.3,33.2,34.0,33.1,32.8,33.5,31.6,32.0,32.0,32.0,32.4
,HIDALGO,,21.1,22.9,23.5,29.6,27.8,26.8,26.6,27.2,24.6,25.5,24.5,23.7,25.3
,JALISCO,,26.2,26.7,27.2,31.0,32.0,30.2,29.2,30.2,29.3,29.0,28.3,26.3,28.8
,ESTADO DE MÉXICO,,19.9,20.9,21.2,25.6,22.9,22.1,21.7,22.3,21.5,21.5,21.8,20.9,21.9
,MICHOACÁN,,26.9,27.3,27.1,33.0,29.6,29.8,28.2,28.7,28.3,28.4,28.4,25.1,28.4
,MORELOS,,28.3,29.3,30.7,33.9,31.2,29.1,29.0,29.7,28.3,29.4,29.6,28.4,29.7
,NAYARIT,,31.0,30.7,30.6,34.0,34.8,35.4,34.3,34.4,33.7,33.8,32.6,29.0,32.9
,NUEVO LEÓN,,19.6,22.6,23.2,29.8,30.7,32.3,35.3,36.3,33.3,30.3,25.6,24.3,28.6
,OAXACA,,28.1,28.4,29.9,34.5,32.8,31.6,31.8,32.8,31.8,31.6,30.8,29.8,31.2
,PUEBLA,,23.4,24.6,24.8,27.9,27.1,25.9,26.6,27.9,25.8,25.8,25.1,24.3,25.8
,QUERÉTARO,,22.2,24.5,25.9,29.1,29.6,28.3,27.7,28.9,28.0,27.0,26.1,23.9,26.8
,QUINTANA ROO,,29.2,29.8,32.1,34.6,34.3,32.9,34.6,34.9,34.0,32.4,31.3,30.8,32.6
,SAN LUIS POTOSÍ,,22.2,24.7,26.2,32.1,31.5,30.7,31.0,32.5,31.8,30.0,27.5,26.1,28.9
,SINALOA,,28.1,29.5,30.2,33.6,34.6,37.1,36.0,35.5,34.6,34.2,32.5,28.1,32.8
,SONORA,,24.2,27.0,28.5,31.8,32.1,38.1,36.7,37.4,35.2,32.3,26.7,23.4,31.1
,TABASCO,,27.1,28.3,30.7,34.9,34.8,33.1,34.1,34.8,33.3,32.1,31.1,30.7,32.1
,TAMAULIPAS,,20.9,24.1,25.9,31.5,32.6,33.8,35.2,36.2,33.8,31.5,28.0,26.1,30.0
,TLAXCALA,,21.3,23.4,22.6,26.2,24.5,23.1,23.8,24.2,23.1,23.1,23.6,22.1,23.4
,VERACRUZ,,22.4,24.2,25.6,31.0,31.4,29.9,30.7,31.4,30.5,29.3,26.9,26.9,28.4
,YUCATÁN,,29.4,30.0,34.0,37.2,36.9,34.3,35.5,35.4,35.0,32.6,31.4,31.0,33.6
,ZACATECAS,,21.1,22.3,22.1,27.5,29.6,27.1,26.2,27.4,26.8,25.5,25.3,21.7,25.2
,NACIONAL,,23.2,25.5,26.5,30.8,31.3,32.2,32.2,33.1,31.7,29.8,27.3,24.9,29.0
