Unnamed: 0,Entidad,Ene,Feb,Mar,Abr,Mav,Jun,Jul,Aqo,Sep,Oct,Nov,Dic,Anual
,Aguascalientes,22.6,25.1,29.5,30.2,30.9,28.2,27.9,27.4,25.9,25.1,23.1,21.7,"26.5
"
,Baja California,23.4,22.9,23.7,28.5,27.9,32.1,35.6,36.2,34.7,28.2,24.3,20,28.1
,Baja California Sur,26.9,26.2,28.2,30.5,32.2,33.1,35.7,35.2,34.6,31.3,28.5,25.3,30.6
,Campeche,27.9,32.4,34.7,35.7,35.1,34.4,34.9,34.1,33.8,32.5,31.4,29.9,33.1
,Coahuila,19.4,24.8,28.3,29.9,34.9,36.1,35.4,35.3,29.6,26.9,22.4,20.8,28.7
,Colima,32,33.1,33.5,33.5,35.1,33.7,35.4,34.2,34.1,33.4,32.8,32.7,33.6
,Chiapas,28.2,32,33.4,33.1,33.2,31.2,32.2,31.3,31.2,30.5,30.4,28.9,31.3
,Chihuahua,20.7,23,26.6,30.3,34.7,35.2,32.8,31.8,29.6,26,22.6,19.2,27.7
,Ciudad de México,20.7,23.9,26.6,26.2,27.3,25.2,25.2,23.8,24.4,23.4,22.5,22.3,24.3
,Durango,22.3,24.9,29.2,30.9,33.3,32.8,31.5,31.2,27.7,26.3,23.7,21.6,28
,Guanajuato,23.2,26.1,30.4,30.8,31.7,28.2,27.9,27.2,26.7,26.3,24.5,23.5,27.2
,Guerrero,30.6,32.3,33.6,34.1,34.1,32,33.3,31.1,31.4,31,30.9,30.9,32.1
,Hidalgo,21.8,25,27.6,27.8,28.7,27.1,28,27.1,27.2,26,24.1,23.4,26.2
,Jalisco,26,28.2,31.7,32.4,33.6,30.6,30.5,29.4,28.8,28.1,26.5,25.5,29.3
,Estado de México,19.9,22.8,25.2,24.9,25.4,23.6,23.7,22.3,22.7,21.9,21,22,23
,Michoacán,26,28.2,31.8,32.6,32.9,29.4,29.4,28.8,28.6,28.3,26.9,26.2,29.1
,Morelos,27.2,30.9,33.6,33.6,31.3,29.3,30.5,28,27.9,28,27.5,27.2,29.6
,Nayarit,29.7,32.8,34.6,35.1,36.7,35.1,34.8,34.1,33.6,33,32.2,29.9,33.5
,Nuevo León,19.9,25.6,29.4,29.3,33,34.6,35.9,36.3,31.3,27.5,23,22.4,29
,Oaxaca,26.6,30.3,32.2,32,33.3,30.2,31,30.8,30.9,30.2,29.4,27.8,30.4
,Puebla,21.1,25.2,27.5,27.2,27.8,26.8,27.1,25.7,26.3,25.2,24,23.2,25.6
,Querétaro,21.7,26.3,29.7,30.7,31.7,28.5,29.2,28.4,27.8,25.9,24.7,22.8,27.3
,Quintana Roo,28.2,31.5,32.4,33.8,33.7,33.3,34.5,34.4,33.8,33,31.9,30,32.5
,San Luis Potosí,22.3,28.4,31.3,31.3,33.7,33.7,34.3,33.5,32.2,29.2,26.2,25.2,30.1
,Sinaloa,31,30.7,33.1,35.1,37.5,37,37.4,35.7,34.6,33.9,31.9,28.7,33.9
,Sonora,26.3,24.6,28.9,33.2,35.9,38.6,38.1,35.9,35.9,30.3,26.8,22.7,31.4
,Tabasco,26.6,30.9,33,33.7,34.7,34.3,35.2,33.8,33.6,32.5,30.6,29,32.3
,Tamaulipas,21.9,27.9,30.2,30.5,33.5,35,36.4,36.3,33.8,29.7,25.2,24.6,30.4
,Tlaxcala,20.8,24,26.2,25.1,26.3,23.2,24.9,23.5,24.2,23,22.2,21.5,23.7
,Veracruz,22.1,27.2,28.8,28.8,30.8,30.9,30.9,29.8,30.3,28.1,26,25,28.2
,Yucatán,27.3,32.3,33.6,35.1,34.6,33.9,35.1,34.4,33.8,32.8,31.1,29.7,32.8
,Zacatecas,21.9,24.2,29,29.7,31.1,27.7,27.7,26.8,25.2,24.6,23,20.9,26
,Nacional,24.1,26.8,29.8,31.4,33.5,33.3,33.3,32.5,31.1,28.7,26.1,24.1,29.6
