Entidad,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,23.1,26.7,29.3,29.8,32.1,30.8,28.6,28.4,26.8,26.0,24.4,22.6,27.4
Baja California,20.4,17.9,22.2,27.6,26.4,30.6,32.7,35.3,31.8,28.5,24.3,19.0,26.4
Baja California Sur,25.2,24.7,27.6,29.7,29.2,33.1,35.4,35.4,33.6,31.9,28.2,25.2,29.9
Campeche,29.4,33.2,33.5,35.6,37.7,35.8,35.0,35.3,34.3,33.2,31.1,29.9,33.7
Coahuila,20.6,24.7,25.5,31.2,33.0,35.0,35.6,37.6,33.6,30.1,24.7,22.9,29.5
Colima,33.2,33.0,34.1,33.3,33.8,35.2,35.0,34.5,33.9,32.9,33.5,32.9,33.8
Chiapas,29.6,32.3,32.6,34.0,34.3,32.3,32.3,32.7,31.9,31.0,30.6,29.6,31.9
Chihuahua,20.3,21.5,26.0,29.0,32.1,35.9,34.4,33.1,29.6,26.9,22.3,19.7,27.6
Ciudad de México,22.7,25.6,27.0,27.4,28.7,25.9,24.7,26.0,25.0,24.6,24.3,23.1,25.4
Durango,22.6,25.8,28.1,29.7,31.7,33.5,31.3,31.9,28.9,28.0,23.9,22.4,28.2
Guanajuato,24.6,27.9,30.1,30.9,32.8,30.2,28.2,28.7,27.7,27.1,26.3,24.5,28.3
Guerrero,30.9,32.6,33.7,33.6,34.2,32.9,32.2,32.6,31.8,31.0,31.6,31.5,32.4
Hidalgo,23.4,27.9,28.1,30.5,32.1,28.5,27.6,28.6,26.9,26.3,25.1,23.5,27.4
Jalisco,26.7,29.7,31.9,32.3,34.1,33.2,30.5,30.3,29.7,29.0,28.2,27.0,30.2
Estado de México,21.6,24.4,26.0,26.4,27.7,24.8,23.2,23.4,22.6,22.3,21.8,20.9,23.8
Michoacán,27.0,30.1,31.6,32.3,33.7,31.3,29.8,29.3,28.8,28.3,28.2,27.0,29.8
Morelos,28.3,31.3,33.5,33.9,33.9,29.9,28.7,29.3,28.7,27.6,27.8,27.7,30.1
Nayarit,31.3,32.1,34.4,34.7,35.6,37.0,35.9,33.8,33.6,33.3,33.2,30.8,33.8
Nuevo León,21.5,26.0,26.1,31.3,33.2,35.1,35.3,37.6,32.5,30.2,25.5,23.9,29.9
Oaxaca,28.3,31.8,32.3,33.8,34.6,31.9,30.8,31.7,31.2,29.4,29.3,28.5,31.1
Puebla,23.4,26.8,27.5,29.3,30.6,27.8,26.9,27.9,26.8,25.6,25.0,24.3,26.8
Querétaro,24.7,28.1,29.6,30.9,33.2,29.9,28.6,30.6,28.7,27.4,26.5,24.6,28.6
Quintana Roo,29.6,31.9,32.7,33.6,34.9,35.4,36.0,35.5,35.0,33.2,31.1,30.3,33.3
San Luis Potosí,24.8,29.4,29.2,34.5,36.3,35.1,34.6,36.6,33.3,31.4,27.2,25.9,31.5
Sinaloa,29.3,29.5,32.6,33.9,35.3,37.6,37.6,36.1,34.6,34.6,32.2,29.2,33.5
Sonora,23.1,22.5,27.7,31.3,32.0,38.2,38.6,37.9,34.3,32.2,27.8,23.2,30.7
Tabasco,28.1,31.3,32.0,34.1,37.6,35.0,34.5,35.3,33.7,32.3,29.9,29.0,32.7
Tamaulipas,23.4,27.6,28.1,32.5,34.8,36.2,36.1,38.1,34.3,31.3,26.4,25.6,31.2
Tlaxcala,22.4,25.1,26.4,27.1,27.6,24.4,23.9,24.2,23.5,22.4,22.4,21.8,24.3
Veracruz,24.1,27.9,27.8,30.8,33.7,31.7,31.0,31.9,30.3,28.5,25.5,25.4,29.1
Yucatán,28.8,33.0,33.6,35.8,37.4,36.6,35.7,35.6,34.7,33.4,30.5,29.9,33.8
Zacatecas,22.3,25.9,28.4,29.1,31.3,30.5,28.1,28.6,26.8,26.4,24.2,22.7,27.0
Nacional,24.4,26.7,28.8,31.5,33.0,34.1,33.5,33.9,31.5,29.8,26.7,24.8,29.9
