ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,ENE_16,FEB_16,MAR_16,ABR_16,MAY_16,JUN_16,JUL_16,AGO_16,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,13.9,14.5,15.3,20,20.4,20.7,19.5,19.7,19.6,18.1,17.1,13.6,17.7,12.1,15,17,19.8,23.3,21.9,21,20.6,20.2,18.8,15.9,15.1,18.4
BAJA CALIFORNIA,16,17.7,19.8,20.2,19.8,25.1,25.8,27.7,27,23.8,16.1,11.8,20.9,13.8,18.8,17.7,19.3,20.2,27.3,29,28.8,25.9,24.4,19.8,14.6,21.6
BAJA CALIFORNIA SUR,18.9,20.3,21.8,23.2,23.4,27.7,29.3,31,29.7,26.9,22.9,18.1,24.4,17.7,21.1,21.1,22.2,23.6,27.5,30.1,29.6,28.5,27.9,23.4,19.1,24.3
CAMPECHE,23.5,24,27.1,30.3,30.3,29,29.7,29.6,28.9,28.2,27.5,26.6,27.9,23.9,23.9,28.4,30.2,31.5,29.8,29.5,29.4,29,27.6,26.5,26.9,28.1
COAHUILA,11.5,14.3,16.1,22.5,23.9,25.3,27,27.8,25.6,23,18,14.1,20.8,12.4,16.4,20.4,22.7,25.4,27.6,29.8,27.5,26.1,23.1,18.6,15.5,22.1
COLIMA,24.9,23.5,24.3,26.7,27.5,28.1,27.9,28.3,27.9,28,27.6,25.8,26.7,24.8,26.1,25,26.4,27.7,28.8,28.9,28.6,28.3,29,27.6,26.3,27.3
CHIAPAS,21.8,22.3,24.5,26.7,26.5,25.9,25.7,26.1,25.5,25.3,25.2,23.7,24.9,22.9,23,26.5,27.9,28.3,26.2,26.3,26.1,25.7,25.3,24.2,23.8,25.5
CHIHUAHUA,9.9,13.6,14.5,19.5,20.8,25.1,24.8,25.3,23.7,19.9,14.9,11.1,18.6,9.5,13.8,16.9,19.4,22.5,26.1,26.4,23.7,23.1,20.6,15.2,12.5,19.1
DISTRITO FEDERAL,14.7,16,16.9,19.3,19.1,19.1,18.9,19.2,18.6,18.1,17.6,16.3,17.8,14.1,15.8,17.4,20.1,20.9,18.9,18.8,19.2,18.9,17.9,15.7,16.6,17.9
DURANGO,11.8,13.3,14.2,18.3,20.8,22.1,22.1,22.3,21.6,19.2,17.1,12.3,17.9,10.5,14.6,16.7,19.3,22.1,23.5,23.7,22.1,21.7,19.8,16.1,14.1,18.7
GUANAJUATO,15.4,16.1,17.6,21.8,21.5,21.1,20.2,20.7,20.6,19.8,18.8,16,19.1,14.2,15.6,18.1,21.1,23.7,21.9,21,20.8,20.5,19.4,16.9,16.8,19.2
GUERRERO,23.8,24.3,25.6,26.6,27.7,27.5,26.9,27.5,26.3,26.3,26.3,25.1,26.2,24,25.2,25.1,27.1,28.3,26.6,26.1,25.9,25.4,25.7,25,24.9,25.8
HIDALGO,13.2,14.4,16.3,21.5,20.5,20.2,19.9,20.2,18.6,18.8,18.1,16,18.1,13.8,14.9,18.5,20.9,22.6,20.7,21,20.7,20.3,18.6,16.4,16.4,18.7
JALISCO,18,18.4,19.3,22.6,23.8,23.8,22.9,23.2,22.8,21.9,20.8,18.6,21.3,17.2,18.8,19.9,22.4,25.3,24.3,23.2,23.1,22.9,22.5,19.7,18.6,21.5
ESTADO DE MÃ‰XICO,11.8,12.5,13.8,18,15.9,16.1,15.5,15.9,15.7,14.9,14.5,13.2,14.8,11.6,12.5,14.3,16.6,17.8,15.9,15.8,16.1,15.7,14.7,12.8,13.7,14.8
MICHOACÃN,19.1,19.4,19.7,24.8,22.6,23.3,22.1,22,21.9,21.4,20.7,17.7,21.2,17.2,19,19.3,22.1,24.3,22.9,21.9,22.1,21.7,21.3,19.2,18.6,20.8
MORELOS,19.9,20.7,22.6,25.7,24.3,23.1,22.7,23,22.8,22.8,22.6,20.7,22.6,18.2,20.7,22.5,25.1,25.9,23.2,22.8,22.4,22,22.2,20.6,21.1,22.2
NAYARIT,24,23.9,23.4,26.9,27.4,29.8,28.7,28.9,28.5,28.5,26.4,22.5,26.6,20.4,23.9,23.5,25.7,28.5,29.1,28.5,28.3,28.1,28.1,26.1,23,26.1
NUEVO LEÃ“N,12.9,15.3,17.3,24.2,25.1,26.5,28.2,28.7,26.7,23.9,19.5,16.7,22.1,14.1,17.5,21.6,23.9,26,27.1,29.5,28.1,26.8,23.9,20.4,16.6,23
OAXACA ,21.3,21.4,23.4,27.9,26.8,26.1,26,26.7,26.3,25.6,25.1,23,25,21.9,21.9,25.2,27.2,28.2,26.3,26.2,25.6,24.9,24.3,23.5,23.3,24.9
PUEBLA,14.7,15.6,17.1,20.1,19.8,19.4,19.4,20.4,19.6,18.9,18.2,16.6,18.3,14.7,15.6,18.2,20.2,21.5,19.7,19.6,19.5,19.1,18.2,16.8,16.9,18.3
QUERÃ‰TARO,14.9,16.7,18.4,22.1,22.4,21.9,21.3,21.8,21.7,20.3,19.4,16.6,19.8,14.8,16.2,18.7,22.4,24.9,22.3,21.9,21.5,21.1,20.5,17.6,17.4,19.9
QUINTANA ROO,24,24,27.1,29.5,29.3,28.6,29.6,29.7,29,27.6,27,26.5,27.7,24.3,23.6,26.9,27.8,28.6,27.6,28.8,29.8,29.7,28.2,26.5,26.9,27.4
SAN LUIS POTOSÃ,14.9,16.5,19.6,25.5,24.7,24.2,24.3,25,25.4,23.9,21.9,19.6,22.1,16.2,17.9,22.7,24.6,27,25.7,26.4,25.8,25,23.4,20,19.8,22.9
SINALOA,20.6,22,22.5,25.2,26.3,30.7,30.2,29.8,29.6,28,24.4,20.1,25.8,19.1,22.4,22.8,24.7,27.4,30.5,30.4,29.6,29.4,29.4,25.8,21.5,26.1
SONORA,16.2,18.9,20.3,22.5,23.4,30,30.2,30.8,29,24.9,17.9,14.7,23.2,13.9,19,19.6,21.4,24,30.2,30.8,29.1,27.4,26,19.9,15.6,23.1
TABASCO,23,23.4,25.9,29.5,29.3,28.3,28.9,29.3,28.6,27.8,27.3,26.5,27.3,23.3,23.4,27.4,29.1,30.3,28.8,29,28.7,28,27.3,25.5,25.8,27.2
TAMAULIPAS,14.9,17.7,20.4,26,27.5,28.4,29.3,29.9,28.3,26.1,22.7,19.8,24.3,16.8,19.4,23.6,25.9,27.9,28.4,30,29.6,28.8,26.6,23.1,20.6,25.1
TLAXCALA,12.3,13.9,14.7,17.1,17,16.5,16.6,16.8,16.7,15.8,15.8,13.6,15.6,12.3,14.3,14.9,17.5,18.8,16.8,16.9,17.1,16.7,15.6,14.2,14.2,15.8
VERACRUZ,17.1,18.7,20.4,25.2,25.7,24.8,25.3,25.6,25.3,24.1,22.2,21.7,23,18.3,19.1,23.3,25.4,27.1,25.8,25.8,25.6,25,23.7,21.8,21.4,23.5
YUCATÃN,23.4,23.1,27,29.8,29.7,28.7,29,29.1,29,27.4,26.6,26,27.4,23.1,22.8,27.1,28.7,30.1,29.2,29.3,28.8,28.5,27.1,25.4,26,27.2
ZACATECAS,12.9,13.7,14.5,18.8,20.7,20.6,19.6,20,19.6,18.1,17,12.9,17.4,10.6,14.2,15.8,18.5,21.7,21,20.5,20,19.3,17.9,15,14.3,17.4
NACIONAL,16.2,17.8,19.4,23.3,23.9,25.7,25.9,26.4,25.4,23.3,20.3,17.4,22.1,15.8,18.5,20.9,23,25.1,26.3,26.8,25.8,25,23.6,20.2,18.2,22.4
