ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,1UL,AGO,SEP,OCT,NOV,DIC,ANUAL
AGUASCALIENTES,2.6,4.7,7.7,10.6,13.9,14.2,14.0,14.8,13.6,10.9,8.4,5.8,10.1
BAJA CALIFORNIA,7.6,11.0,10.1,12.0,13.6,19.7,21.8,22.0,19.0,16.9,12.9,8.6,14.6
BAJA CALIFORNIA SUR,10.0,13.5,13.8,15.1,17.2,20.6,24.0,24.2,22.9,21.2,16.8,12.9,17.7
CAMPECHE,18.3,17.8,22.2,23.4,24.6,24.1,23.5,24.2,23.7,22.3,21.2,21.5,22.2
COAHUILA,4.3,7.5,12.8,15.3,18.6,20.7,22.9,21.6,20.0,16.1,12.5,8.7,15.1
COLIMA,17.7,18.8,17.5,18.8,20.9,23.1,23.3,23.0,22.9,23.1,21.6,19.5,20.9
CHIAPAS,16.4,16.3,19.5,20.8,21.8,20.8,20.5,20.6,20.4,19.8,18.8,17.6,19.4
CHIHUAHUA,0.7,3.3,7.0,9.9,13.5,17.9,18.9,17.3,16.0,12.0,6.8,3.9,10.6
DISTRITO FEDERAL,7.5,8.1,10.8,12.9,14.1,13.3,13.1,13.6,13.7,12.2,10.0,9.9,11.6
DURANGO,0.4,3.9,6.5,9.0,12.4,14.9,15.9,15.6,14.7,11.5,7.7,4.2,9.7
GUANAJUATO,5.2,5.2,9.1,11.5,14.5,14.5,14.1,14.4,13.5,11.7,9.5,8.0,10.9
GUERRERO,17.1,17.5,17.9,19.7,21.3,20.4,19.8,19.6,19.4,19.2,18.4,17.8,19.0
HIDALGO,5.6,5.8,9.8,12.2,14.7,14.3,14.3,14.2,14.1,12.2,10.3,8.4,11.3
JALISCO,8.4,8.9,10.7,12.7,16.0,16.8,16.7,17.0,16.2,15.0,11.9,9.6,13.3
ESTADO DE MÉXICO,3.3,2.9,5.9,7.8,9.6,9.6,9.5,9.7,9.4,7.6,5.8,5.7,7.2
MICHOACAN,8.7,9.2,10.9,13.1,15.4,15.6,15.1,15.5,14.7,13.6,11.3,9.7,12.7
MORELOS,10.8,11.8,14.4,16.4,18.0,17.0,16.6,16.6,16.3,15.6,13.4,12.9,15.0
NAYARIT,13.2,15.9,16.0,17.8,20.9,23.1,23.0,23.0,22.8,21.8,19.3,15.7,19.4
NUEVO LEÓN,5.6,8.5,13.5,16.6,19.4,20.5,22.0,21.3,20.4,17.4,14.6,9.9,15.8
OAXACA,15.5,15.0,18.4,20.1,21.4,20.6,20.3,19.8,19.2,18.3,17.3,17.1,18.6
PUEBLA,7.5,7.0,10.4,12.0,13.8,13.2,12.8,12.8,12.6,11.3,9.6,9.1,11.0
QUERÉTARO,7.3,7.0,10.6,13.6,17.0,15.8,15.6,15.5,15.1,13.9,11.4,10.8,12.8
QUINTANA ROO,18.8,18.0,22.0,22.6,23.0,22.8,23.6,24.9,24.8,22.8,21.1,22.0,22.2
SAN LUIS POTOSÍ,8.5,9.3,14.7,16.9,19.8,19.0,19.9,19.7,19.0,17.0,14.0,12.9,15.9
SINALOA,9.5,12.8,13.9,15.3,19.0,24.0,24.3,24.1,23.7,22.0,17.2,12.7,18.2
SONORA,4.8,8.4,9.4,11.5,14.2,21.4,23.5,22.2,19.9,16.5,10.8,7.5,14.2
TABASCO,18.9,18.8,22.3,23.9,24.9,23.8,23.8,24.0,23.5,22.8,21.3,21.4,22.5
TAMAULIPAS,9.6,11.9,17.2,20.0,22.5,22.9,24.2,23.8,23.2,20.7,17.8,14.6,19.0
TLAXCALA,4.8,4.7,6.7,8.7,10.4,10.3,10.0,10.4,9.8,8.1,6.7,5.7,8.0
VERACRUZ,13.0,13.4,17.4,19.5,21.2,20.4,20.4,20.4,19.9,18.6,16.8,16.2,18.1
YUCATÁN,17.1,16.3,20.8,21.6,23.1,23.4,23.2,23.4,22.8,21.4,19.2,20.2,21.0
ZACATECAS,1.1,3.6,6.5,8.7,12.1,13.0,13.4,14.1,12.6,9.7,7.3,4.8,8.9
NACIONAL,7.9,9.7,12.7,14.8,17.3,19.3,20.1,19.7,18.7,16.4,13.1,10.8,15.0
