ENTIDAD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Aguascalientes,3.3,8.4,8,9.6,12.9,14.3,13.1,13.5,13.9,12,6.2,3.8,9.9
Baja California,9.2,8.1,9.6,12.4,13.1,16.4,21.6,22.9,19.8,15,10,7.5,13.8
Baja California Sur,12.4,13.5,13.1,15.3,17.4,20.7,24,24.7,24,20,15.7,13,17.8
Campeche,16.7,19.9,20.4,21.3,22.6,23.2,23,22.6,23,22.4,20.7,18.9,21.2
Coahuila,4,11.3,12.8,14.5,19.8,22.7,22.1,22,19.8,16,8.6,6.4,15
Colima,18.3,19.3,18.1,18.1,22.3,23.1,23.5,22.6,22.6,22.3,20.2,18.5,20.7
Chiapas,15.4,17.5,18.8,19.8,20.6,20.4,19.9,20.1,20.3,20.1,19,16,19
Chihuahua,1.3,6.5,7.3,10.5,14.7,18.1,18.4,17.6,15.6,11.5,4,2.4,10.7
Ciudad de México,6.1,10.1,11.8,12.4,13.3,14,12.8,12.5,13.1,12.7,9.6,7.5,11.3
Durango,1.9,6.8,8.4,9.8,13.6,16.2,15.6,15.4,14.2,11.1,4.3,2.1,10
Guanajuato,4.6,8.7,10.1,11.7,14,14.5,13.5,13.5,13.7,13.1,8.3,5.5,10.9
Guerrero,15.3,16.5,17.8,18.9,20,20,19.7,19.2,19.3,19.1,17.5,15.8,18.3
Hidalgo,5.1,8.4,9.3,11.2,12.2,14.3,14,14.3,14.6,13.7,10,7.2,11.2
Jalisco,7.6,10.7,10.4,12.3,16,17.1,16.2,16.1,16.4,15.1,10.6,7.7,13
Estado de México,1.1,4.7,5.9,7.1,8.5,9.8,8.8,9.4,9.8,9.1,5.9,3.9,7
Michoacán,7,10.2,11.8,13.2,15.3,16,15,15.1,15.1,14.4,10.4,7.8,12.6
Morelos,9.7,13.2,15.7,16.4,16.7,17,15.7,15.8,15.7,15.6,13.7,10.9,14.7
Nayarit,13.7,16.5,14.5,15.7,20.4,23.5,23.1,22.6,22.8,21.9,17.5,14,18.9
Nuevo León,4.7,11.7,13.6,14.5,19.2,20.9,20.3,20.9,20.5,16.7,9.6,7.2,15
Oaxaca,13.9,16,17.6,17.8,19.8,18,18,18.5,18.7,19,17,14.9,17.4
Puebla,5.1,8.9,10.6,11.4,12.4,14,11.9,12.4,12.9,12.1,9.6,7.5,10.7
Querétaro,5.3,10.8,12.2,13.9,15.7,15.5,14.9,15.5,15.5,14.7,10.4,8.6,12.8
Quintana Roo,17.9,21.2,21.1,22.3,23.3,25.2,25.2,24.9,24.3,23.5,21.8,19.9,22.6
San Luis Potosí,8.6,15.5,16.1,16.9,19.9,21.1,20.6,20.6,20.7,18.7,13.6,11,16.9
Sinaloa,10.9,14.1,13,15,18.9,23.7,24.4,23.7,23.5,21.7,15.4,12.1,18
Sonora,7,8.2,9.5,12.3,14.9,21.4,23.5,22.9,22.1,16.4,8.7,6.4,14.4
Tabasco,17.6,20.8,21.9,22.8,23.9,23.7,23.6,23.1,23.6,23.3,21.7,19.6,22.1
Tamaulipas,8.4,16.1,17.6,18.4,22.5,23.7,23.7,23.9,23.3,20,13.7,11.2,18.5
Tlaxcala,1.3,4.7,6.5,7.8,8.8,10.8,8.3,9.6,9.9,9.9,6.5,3.8,7.3
Veracruz,11.6,15.4,16.8,17.2,19.3,20.4,19.6,19.2,19.7,18.6,16.1,13.5,17.3
Yucatán,16.1,18.7,18.9,20.4,21.6,22.5,22.5,22.2,22.5,21.9,19.8,17.7,20.4
Zacatecas,3,7.3,7.2,8.9,12.7,14.3,13.3,12.9,13.4,11,5.5,3.1,9.4
Nacional,7.9,11.7,12.6,14.3,17.3,19.5,19.7,19.6,18.9,16.4,11.3,9,14.9
